Date,Open,High,Low,Close,Volume,SMA,EMA,MACD,ADX,SAR,RSI,ROC,CCI,ATR,Bbands_Upper,Bbands_Middle,Bbands_Lower,OBV,MFI
2023-08-24,155.21,157.56,153.97,154.02,2468600,159.82,159.28,-2.62,24.47,153.97,32.93,-4.87,-122.81,2.82,166.36,159.82,153.29,145032100.00,26.24
2023-08-25,154.65,155.83,153.57,154.54,2969200,159.48,158.83,-2.67,24.66,157.56,34.77,-3.36,-117.94,2.78,166.35,159.48,152.60,148001300.00,19.02
2023-08-28,155.18,157.06,154.97,155.39,2509900,159.00,158.50,-2.60,24.11,157.56,37.79,-2.66,-81.34,2.77,165.64,159.00,152.37,150511200.00,26.50
2023-08-29,155.09,156.95,154.52,156.41,2175800,158.54,158.30,-2.44,23.77,157.48,41.31,-3.04,-70.68,2.74,164.53,158.54,152.56,152687000.00,33.52
2023-08-30,156.44,157.99,156.29,156.34,3039900,158.22,158.12,-2.30,22.85,153.57,41.14,-3.56,-41.81,2.67,163.95,158.22,152.50,149647100.00,42.43
2023-08-31,156.82,157.09,153.97,154.21,3653900,157.81,157.74,-2.32,22.92,153.66,36.22,-2.42,-83.72,2.70,163.45,157.81,152.17,145993200.00,34.27
2023-09-01,155.27,156.33,154.92,155.81,2195500,157.53,157.56,-2.19,22.99,153.75,41.83,-0.71,-62.80,2.66,162.97,157.53,152.09,148188700.00,34.84
2023-09-05,156.28,157.99,155.54,156.18,4151000,157.19,157.43,-2.03,22.10,153.83,43.08,-0.36,-30.42,2.64,162.05,157.19,152.33,152339700.00,44.75
2023-09-06,155.27,156.02,153.11,154.22,2949200,156.81,157.12,-2.04,22.21,157.99,38.39,-1.39,-101.82,2.67,161.32,156.81,152.30,149390500.00,43.66
2023-09-07,153.50,153.86,152.34,153.03,2617400,156.46,156.73,-2.12,22.56,157.99,35.82,-2.55,-146.97,2.62,161.02,156.46,151.90,146773100.00,43.57
2023-09-08,153.27,154.02,152.97,153.67,1931300,156.16,156.44,-2.11,22.80,157.77,38.19,-1.04,-121.93,2.51,160.64,156.16,151.69,148704400.00,49.01
2023-09-11,154.59,155.36,153.64,154.06,2611100,155.80,156.21,-2.04,22.24,157.55,39.67,-1.01,-84.47,2.45,159.68,155.80,151.92,151315500.00,49.69
2023-09-12,153.88,155.90,153.69,154.71,2659000,155.43,156.07,-1.92,21.42,157.34,42.16,0.45,-58.84,2.43,158.03,155.43,152.83,153974500.00,56.17
2023-09-13,155.53,156.86,154.83,155.34,2976700,155.30,156.00,-1.75,20.16,157.14,44.52,0.52,8.03,2.41,157.60,155.30,152.99,156951200.00,62.49
2023-09-14,156.73,158.09,156.18,157.91,3209900,155.35,156.18,-1.39,19.06,152.34,53.02,1.63,132.00,2.44,157.83,155.35,152.86,160161100.00,69.45
2023-09-15,158.16,160.40,157.95,159.84,7273600,155.50,156.53,-0.94,19.01,152.46,58.18,2.19,245.08,2.44,158.62,155.50,152.39,167434700.00,79.26
2023-09-18,159.88,160.03,155.54,155.82,2413400,155.47,156.46,-0.89,17.80,152.77,46.65,-0.34,89.20,2.59,158.56,155.47,152.38,165021300.00,73.69
2023-09-19,155.25,156.05,154.66,155.54,2230700,155.40,156.38,-0.87,16.76,153.08,45.98,0.86,-13.53,2.50,158.41,155.40,152.39,162790600.00,68.66
2023-09-20,156.18,156.37,153.13,153.47,1969700,155.31,156.10,-1.01,16.39,160.40,41.18,-1.50,-76.81,2.55,158.43,155.31,152.18,160820900.00,63.30
2023-09-21,152.11,153.12,150.75,151.01,2712100,155.08,155.61,-1.30,16.87,160.26,36.33,-3.31,-199.79,2.57,158.71,155.08,151.44,158108800.00,64.81
2023-09-22,151.30,151.33,149.27,149.42,2380600,154.85,155.02,-1.64,17.74,159.88,33.57,-3.11,-225.78,2.53,159.22,154.85,150.47,155728200.00,59.43
2023-09-25,148.57,149.65,148.12,149.57,2434400,154.60,154.51,-1.88,18.86,159.24,34.07,-2.26,-210.56,2.46,159.54,154.60,149.65,158162600.00,51.77
2023-09-26,148.12,149.30,146.57,147.51,2332100,154.20,153.84,-2.21,20.30,158.35,30.61,-4.01,-205.63,2.50,160.02,154.20,148.39,155830500.00,52.71
2023-09-27,147.88,147.88,145.41,146.32,3705400,153.70,153.12,-2.54,21.91,157.17,28.79,-5.02,-190.74,2.49,160.35,153.70,147.05,152125100.00,51.51
2023-09-28,146.19,147.27,145.46,146.64,3489800,153.21,152.51,-2.74,23.40,155.76,30.00,-5.22,-158.26,2.45,160.41,153.21,146.01,155614900.00,45.25
2023-09-29,147.83,148.07,145.12,145.62,3579400,152.78,151.85,-2.95,24.30,154.52,28.36,-6.25,-135.35,2.48,160.69,152.78,144.88,152035500.00,38.34
2023-10-02,144.87,146.32,144.53,145.91,2657600,152.29,151.28,-3.05,25.31,153.20,29.52,-7.60,-126.15,2.43,160.60,152.29,143.98,154693100.00,32.25
