Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-11-01,9.363730893110745,9.37296467210475,9.179041222580794,9.345261573791504,5601114,0.0,0.0
2023-11-02,9.336026512627207,9.631529444367375,9.234447902736711,9.502246856689453,7330702,0.0,0.0
2023-11-03,9.45607364991503,9.5945908852666,9.336025731543204,9.35449504852295,5180744,0.0,0.0
2023-11-06,9.299088562068336,9.39143339143368,8.994351858094486,9.225213050842285,9844369,0.0,0.0
2023-11-07,9.215978936989568,9.42837170482878,9.151338081009014,9.38219928741455,6445900,0.0,0.0
2023-11-08,9.409901797004615,9.649997648008052,9.372964041516822,9.511481285095215,7170600,0.0,0.0
2023-11-09,9.456074526816495,9.465309186162738,9.345261256658365,9.42837142944336,2611160,0.0,0.0
2023-11-10,9.419137222715626,9.705405511546065,9.336027045936932,9.659233093261719,8230597,0.0,0.0
2023-11-13,9.61306034642958,9.649998103661499,9.012821571244478,9.317558288574219,13722472,0.0,0.0
2023-11-14,9.30832354150263,9.30832354150263,9.022056145815608,9.14210319519043,8865445,0.0,0.0
2023-11-15,9.132868997342586,9.16057209356807,8.966648658658574,9.123634338378906,4740430,0.0,0.0
2023-11-16,9.105165793744465,9.3267932243676,9.077462695166183,9.27138614654541,6681774,0.0,0.0
2023-11-17,9.262150640481128,9.409901660285588,9.179040471674734,9.372963905334473,4779846,0.0,0.0
2023-11-20,9.382198564238637,9.437605636998082,9.299088395432243,9.372963905334473,3748900,0.0,0.0
2023-11-21,9.354495831152159,9.557653931598729,9.354495831152159,9.502246856689453,3582305,0.0,0.0
2023-11-22,9.42837183110999,9.603825962835316,9.42837183110999,9.520716667175293,2007382,0.0,0.0
2023-11-23,9.548419315472994,9.603825509966999,9.419136727211015,9.465309143066406,3579082,0.0,0.0
2023-11-24,9.456074170070881,9.603825191374247,9.437605732740739,9.548418998718262,2382700,0.0,0.0
2023-11-27,9.622295334767369,9.742343270040415,9.465309640999973,9.659233093261719,4349982,0.0,0.0
2023-11-28,9.622295430164415,9.770046465606645,9.57612301142231,9.760811805725098,3223871,0.0,0.0
2023-11-29,9.760811805725098,9.87162508230677,9.686936288003983,9.760811805725098,4063787,0.0,0.0
2023-11-30,9.80698413424704,9.88085965128853,9.770046375726293,9.834687232971191,4063140,0.0,0.0
2023-12-01,9.83468614818865,10.157892160094224,9.83468614818865,10.019375801086426,6020161,0.0,0.0
2023-12-04,10.037844449882044,10.241002543959073,9.991672035682873,10.222533226013184,5727139,0.0,0.0
2023-12-05,10.259471023144338,10.268705682155002,10.1578924160237,10.185595512390137,4824200,0.0,0.0
2023-12-06,10.250237179924738,10.250237179924738,9.95473425811264,10.047079086303711,6022960,0.0,0.0
2023-12-07,10.084016799926758,10.130189213832182,9.99167197211591,10.084016799926758,6470200,0.0,0.0
2023-12-08,10.10248578687336,10.157892862708266,9.99167251586914,9.99167251586914,14038562,0.0,0.0
2023-12-11,10.074782745458457,10.564208248622172,9.973204133304657,10.37951946258545,14568447,0.0,0.0
2023-12-12,10.31487856450327,10.702725453891253,10.277940807450394,10.665787696838379,7625126,0.0,0.0
2023-12-13,10.628849342756176,10.804303458735562,10.527269856067358,10.54573917388916,8677087,0.0,0.0
2023-12-14,10.499567482484585,10.545739899550707,10.259471618273233,10.305644035339355,8980039,0.0,0.0
2023-12-15,10.259470958211406,10.342581127450261,10.000906672208176,10.047079086303711,9976600,0.0,0.0
2023-12-18,9.973203894841973,10.268705945435176,9.954734576347107,10.213299751281738,8197847,0.0,0.0
2023-12-19,10.481098704798224,10.481098704798224,10.130189579386006,10.213299751281738,6816933,0.0,0.0
2023-12-20,10.176361692479562,10.416456661117266,10.157892374533672,10.222533226013184,6546650,0.0,0.0
2023-12-21,10.241002436947007,10.241002436947007,10.0193759079055,10.120954513549805,5935900,0.0,0.0
2023-12-22,10.148657568333874,10.388753414154053,10.04707896310174,10.157892227172852,5650600,0.0,0.0
2023-12-25,10.120954391237376,10.277940067577648,9.963968714897106,10.231767654418945,4578900,0.0,0.0
2023-12-26,10.296408713354724,10.351815786402478,10.047079086303711,10.047079086303711,6378940,0.0,0.0
2023-12-27,10.065548073027621,10.222533761123065,10.037844975324187,10.204065322875977,4412692,0.0,0.0
